band,tract,patch,patch_s,skymap_id,ra2000,dec2000,llcra,llcdec,ulcra,ulcdec,urcra,urcdec,lrcra,lrcdec,seeing,ellipticity,ellipticity_pa,zeropt,sep_center_deg
HSC-G,15733,2,"0,2",157330002,50.72556979345036,42.01903376918686,50.85255006249422,41.91986690038482,50.856059309227035,42.11581998935512,50.59818477184921,42.11806675096659,50.595474449813736,41.92209816337748,0.7025126,0.03301916,-72.745804,27.0,0.7690477153501935
HSC-G,15733,3,"0,3",157330003,50.72854031165952,42.20566705726983,50.855891707605686,42.10648870996328,50.859421792187874,42.302447934210846,50.60078174523834,42.30470949776791,50.59805532681065,42.10873473253516,0.71085143,0.04647915,-77.52826,27.0,0.9039989609205652
HSC-G,15733,100,"1,0",157330100,50.47309414045081,41.6499926971889,50.602890221461024,41.553429633994625,50.60554280131946,41.74470762830406,50.34289864283642,41.74641670708863,50.34103599816843,41.55512711394945,0.71500665,0.012978987,4.6968856,27.0,0.414530452671466
HSC-G,15733,101,"1,1",157330101,50.47527551774263,41.83428600722422,50.605413035892056,41.735376625815256,50.60814615464233,41.93133421451941,50.344726721882246,41.93305464099718,50.34280752137078,41.7370851380375,0.72038645,0.0045711687,-24.317287,27.0,0.5075495861340046
HSC-G,15733,102,"1,2",157330102,50.47749748739339,42.02092389387321,50.60801562197179,41.92200262086339,50.61076492434744,42.11797054478017,50.34656562764911,42.11970235018898,50.34463506159234,41.92372247921351,0.7124144,0.016192945,-69.31372,27.0,0.643197509046012
HSC-G,15733,103,"1,3",157330103,50.47973263436896,42.20756966000485,50.610633617609594,42.10863855799545,50.613399247768136,42.30461265774133,50.348415456599994,42.30635587319136,50.34647342374163,42.11036979371778,0.70474917,0.043310694,-81.77069,27.0,0.7996763985982744
HSC-G,15733,104,"1,4",157330104,50.481981076232735,42.39421934378612,50.61326716005771,42.29528047591715,50.61604926387368,42.49125659130748,50.35027630634726,42.49301124778432,50.34832270422466,42.29702312012819,0.6836164,0.07535249,88.38518,27.0,0.9669262462128811
HSC-G,15733,200,"2,0",157330200,50.22332047845733,41.65134456713953,50.353505918291845,41.5550597501026,50.35540618501667,41.74634888293468,50.09273699189733,41.74748835980831,50.091626885607646,41.55619149347618,0.6991505,0.012078372,0.59774256,27.0,0.2471700086729623
HSC-G,15733,201,"2,1",157330201,50.22477483828668,41.83564675859803,50.355313223063334,41.73701733636794,50.35727118790325,41.93298636650246,50.093826498120706,41.934133409436306,50.09268268495643,41.738156435486985,0.704466,0.007716028,62.027424,27.0,0.38321725050546124
HSC-G,15733,202,"2,2",157330202,50.2262562625336,42.02229366378875,50.35717767624499,41.923654227265345,50.35914723613758,42.11963362411366,50.09492245738892,42.12078825394054,50.09377187002478,41.924800891400686,0.7176068,0.0075766174,88.17965,27.0,0.5504067753438886
HSC-G,15733,203,"2,3",157330203,50.22774647317016,42.20894847321071,50.359053169884405,42.11030109025084,50.36103442813006,42.3062866943006,50.09602492720266,42.30744893176831,50.0948675052808,42.11145534023963,0.71159124,0.043993052,89.22991,27.0,0.7271362389829752
